1990,21.5048483278902
1991,21.6277129951332
1992,21.7505776623761
1993,21.873442329619
1994,21.996306996862
1995,22.1191716641049
1996,22.2420363313478
1997,22.3649009985907
1998,22.4877656658337
1999,22.6106303330766
2000,22.7334950003195
2001,22.7975675957473
2002,22.8616401911751
2003,22.9257127866029
2004,22.9897853820307
2005,23.0538579774586
2006,23.1179305728864
2007,23.1820031683142
2008,23.246075763742
2009,23.3101483591698
2010,23.3742209545976
2011,23.4638216864714
2012,23.5534224183453
2013,23.6430231502191
2014,23.732623882093
2015,23.8222246139668
2016,23.9118253458407
2017,24.0014260777145
2018,24.0910268095884
